id	group	context	plus_count	minus_count	xgid
g00_center	0	center	15	15	XGID=-a----E-C-a-eE---c-e----B-:0:0:1:00:0:0:0:0:10
g00_onroll_owned	0	onroll_owned	15	15	XGID=-a----E-C-a-eE---c-e----B-:1:1:1:00:0:0:0:0:10
g00_opp_owned	0	opp_owned	15	15	XGID=-a----E-C-a-eE---c-e----B-:1:-1:1:00:0:0:0:0:10
g01_center	1	center	15	15	XGID=-a----E-Ca--eE---c-e----B-:0:0:1:00:0:0:0:0:10
g01_onroll_owned	1	onroll_owned	15	15	XGID=-a----E-Ca--eE---c-e----B-:1:1:1:00:0:0:0:0:10
g01_opp_owned	1	opp_owned	15	15	XGID=-a----E-Ca--eE---c-e----B-:1:-1:1:00:0:0:0:0:10
g02_center	2	center	15	15	XGID=-a----EaC---eE---c-e----B-:0:0:1:00:0:0:0:0:10
g02_onroll_owned	2	onroll_owned	15	15	XGID=-a----EaC---eE---c-e----B-:1:1:1:00:0:0:0:0:10
g02_opp_owned	2	opp_owned	15	15	XGID=-a----EaC---eE---c-e----B-:1:-1:1:00:0:0:0:0:10
g03_center	3	center	15	15	XGID=-b----E-C---dE---c-ea---B-:0:0:1:00:0:0:0:0:10
g03_onroll_owned	3	onroll_owned	15	15	XGID=-b----E-C---dE---c-ea---B-:1:1:1:00:0:0:0:0:10
g03_opp_owned	3	opp_owned	15	15	XGID=-b----E-C---dE---c-ea---B-:1:-1:1:00:0:0:0:0:10
g04_center	4	center	15	15	XGID=-b----E-C---dE---d-e----B-:0:0:1:00:0:0:0:0:10
g04_onroll_owned	4	onroll_owned	15	15	XGID=-b----E-C---dE---d-e----B-:1:1:1:00:0:0:0:0:10
g04_opp_owned	4	opp_owned	15	15	XGID=-b----E-C---dE---d-e----B-:1:-1:1:00:0:0:0:0:10
g05_center	5	center	15	15	XGID=-b----E-C---cE--ad-e----B-:0:0:1:00:0:0:0:0:10
g05_onroll_owned	5	onroll_owned	15	15	XGID=-b----E-C---cE--ad-e----B-:1:1:1:00:0:0:0:0:10
g05_opp_owned	5	opp_owned	15	15	XGID=-b----E-C---cE--ad-e----B-:1:-1:1:00:0:0:0:0:10
g06_center	6	center	15	15	XGID=-a----E-C--aeE---c-e----B-:0:0:1:00:0:0:0:0:10
g06_onroll_owned	6	onroll_owned	15	15	XGID=-a----E-C--aeE---c-e----B-:1:1:1:00:0:0:0:0:10
g06_opp_owned	6	opp_owned	15	15	XGID=-a----E-C--aeE---c-e----B-:1:-1:1:00:0:0:0:0:10
g07_center	7	center	15	15	XGID=-a--a-E-C---dE--ac-e----B-:0:0:1:00:0:0:0:0:10
g07_onroll_owned	7	onroll_owned	15	15	XGID=-a--a-E-C---dE--ac-e----B-:1:1:1:00:0:0:0:0:10
g07_opp_owned	7	opp_owned	15	15	XGID=-a--a-E-C---dE--ac-e----B-:1:-1:1:00:0:0:0:0:10
g08_center	8	center	15	15	XGID=-b----E-C---eE---b-d-b--B-:0:0:1:00:0:0:0:0:10
g08_onroll_owned	8	onroll_owned	15	15	XGID=-b----E-C---eE---b-d-b--B-:1:1:1:00:0:0:0:0:10
g08_opp_owned	8	opp_owned	15	15	XGID=-b----E-C---eE---b-d-b--B-:1:-1:1:00:0:0:0:0:10
g09_center	9	center	15	15	XGID=---aa-E-C---eE---c-e----B-:0:0:1:00:0:0:0:0:10
g09_onroll_owned	9	onroll_owned	15	15	XGID=---aa-E-C---eE---c-e----B-:1:1:1:00:0:0:0:0:10
g09_opp_owned	9	opp_owned	15	15	XGID=---aa-E-C---eE---c-e----B-:1:-1:1:00:0:0:0:0:10
g10_center	10	center	15	15	XGID=-b----E-C---eE---b-d--b-B-:0:0:1:00:0:0:0:0:10
g10_onroll_owned	10	onroll_owned	15	15	XGID=-b----E-C---eE---b-d--b-B-:1:1:1:00:0:0:0:0:10
g10_opp_owned	10	opp_owned	15	15	XGID=-b----E-C---eE---b-d--b-B-:1:-1:1:00:0:0:0:0:10
g11_center	11	center	15	15	XGID=-a--a-E-C---dE---d-e----B-:0:0:1:00:0:0:0:0:10
g11_onroll_owned	11	onroll_owned	15	15	XGID=-a--a-E-C---dE---d-e----B-:1:1:1:00:0:0:0:0:10
g11_opp_owned	11	opp_owned	15	15	XGID=-a--a-E-C---dE---d-e----B-:1:-1:1:00:0:0:0:0:10
g12_center	12	center	15	15	XGID=-b----E-C---eE---b-d---bB-:0:0:1:00:0:0:0:0:10
g12_onroll_owned	12	onroll_owned	15	15	XGID=-b----E-C---eE---b-d---bB-:1:1:1:00:0:0:0:0:10
g12_opp_owned	12	opp_owned	15	15	XGID=-b----E-C---eE---b-d---bB-:1:-1:1:00:0:0:0:0:10
g13_center	13	center	15	15	XGID=-b----E-C---dE---d-da---B-:0:0:1:00:0:0:0:0:10
g13_onroll_owned	13	onroll_owned	15	15	XGID=-b----E-C---dE---d-da---B-:1:1:1:00:0:0:0:0:10
g13_opp_owned	13	opp_owned	15	15	XGID=-b----E-C---dE---d-da---B-:1:-1:1:00:0:0:0:0:10
g14_center	14	center	15	15	XGID=-b----E-C---cEa--cae----B-:0:0:1:00:0:0:0:0:10
g14_onroll_owned	14	onroll_owned	15	15	XGID=-b----E-C---cEa--cae----B-:1:1:1:00:0:0:0:0:10
g14_opp_owned	14	opp_owned	15	15	XGID=-b----E-C---cEa--cae----B-:1:-1:1:00:0:0:0:0:10
g15_center	15	center	15	15	XGID=-a--a-E-C---eE---c-e----B-:0:0:1:00:0:0:0:0:10
g15_onroll_owned	15	onroll_owned	15	15	XGID=-a--a-E-C---eE---c-e----B-:1:1:1:00:0:0:0:0:10
g15_opp_owned	15	opp_owned	15	15	XGID=-a--a-E-C---eE---c-e----B-:1:-1:1:00:0:0:0:0:10
g16_center	16	center	15	15	XGID=-b----E-C---cE-a-cae----B-:0:0:1:00:0:0:0:0:10
g16_onroll_owned	16	onroll_owned	15	15	XGID=-b----E-C---cE-a-cae----B-:1:1:1:00:0:0:0:0:10
g16_opp_owned	16	opp_owned	15	15	XGID=-b----E-C---cE-a-cae----B-:1:-1:1:00:0:0:0:0:10
